"","markername","mean_norm.all_markers.","mean_val.all_markers."
"$P1S","CD45",3.31998445775552,4.58609187803528
"$P2S","CD278",1.26432338110717,2.39871646518406
"$P3S","CD27",0.306241720009654,1.58089530631672
"$P4S","CD57",1.89375148365735,3.05334845887989
"$P5S","CD11b",0.535053408860934,1.61872135551647
"$P6S","CD4",1.57573968469128,2.75518295745619
"$P7S","CD8A",3.00258582247211,4.30149929294833
"$P8S","CD28",1.08297347003711,2.25134787416802
"$P9S","CD274",0.274135767873465,1.37126830268425
"$P10S","CD45RO",1.51977722607228,2.67558940813474
"$P11S","CD134",0.351737143180004,1.40480526464072
"$P12S","CD244",0.0386599940546943,1.12794191229656
"$P13S","CD38",3.66145334212187,4.91252361748197
"$P14S","TIM3",-0.50810709206122,0.56444363142861
"$P15S","TIGIT",0.360166819494652,1.49733249437921
"$P16S","CXCR3",3.32933405182197,4.53942768261916
"$P17S","CD137",0.276498245383659,1.42176740565308
"$P18S","CD152",1.85096402031048,3.02508307424954
"$P19S","CD25",0.52591276985754,1.65990527874454
"$P20S","CD272",1.12260176624512,2.39839560148186
"$P21S","CD39",1.25736867045832,2.33367129045071
"$P22S","CD223",2.37034524689508,3.44986681333697
"$P23S","CD101",1.34927257967264,2.51796966471395
"$P24S","CCR7",0.781127316265004,1.92878906436611
"$P25S","CD127",3.29731956466758,4.57233091937797
"$P26S","CD45RA",0.168850112040215,1.30799485886804
"$P27S","KI67",0.0556276074264982,1.14288652415949
"$P28S","CD122",0.796962770981427,1.90506593039322
"$P29S","CD95",3.16135531757449,4.36854668901485
"$P30S","CD279",1.88372825548439,3.11145490955859
